"No.","Time","Source","Destination","Protocol","Length","HID Data","Info"
"429","46.686545","1.1.1","host","USB","35","00002a0000000000","URB_INTERRUPT in"
"431","46.742541","1.1.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"433","46.910567","1.1.1","host","USB","35","00000b0000000000","URB_INTERRUPT in"
"435","46.966567","1.1.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"437","47.022570","1.1.1","host","USB","35","0000040000000000","URB_INTERRUPT in"
"439","47.086584","1.1.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"441","47.126582","1.1.1","host","USB","35","0000130000000000","URB_INTERRUPT in"
"443","47.222595","1.1.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"445","47.270590","1.1.1","host","USB","35","0000080000000000","URB_INTERRUPT in"
"447","47.334598","1.1.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"449","47.430608","1.1.1","host","USB","35","0000070000000000","URB_INTERRUPT in"
"451","47.494615","1.1.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"453","47.710639","1.1.1","host","USB","35","0000370000000000","URB_INTERRUPT in"
"455","47.766645","1.1.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"457","47.886657","1.1.1","host","USB","35","0000370000000000","URB_INTERRUPT in"
"459","47.926660","1.1.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"461","48.038673","1.1.1","host","USB","35","0000370000000000","URB_INTERRUPT in"
"463","48.094680","1.1.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"465","48.478737","1.1.1","host","USB","35","00002a0000000000","URB_INTERRUPT in"
"467","48.550743","1.1.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"469","48.638752","1.1.1","host","USB","35","00002a0000000000","URB_INTERRUPT in"
"471","48.694746","1.1.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"473","50.302913","1.1.1","host","USB","35","00002a0000000000","URB_INTERRUPT in"
"475","50.390922","1.1.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"477","50.414926","1.1.1","host","USB","35","00002c0000000000","URB_INTERRUPT in"
"479","50.534953","1.1.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"481","50.734976","1.1.1","host","USB","35","0200000000000000","URB_INTERRUPT in"
"483","50.846975","1.1.1","host","USB","35","0200130000000000","URB_INTERRUPT in"
"485","50.886985","1.1.1","host","USB","35","0200000000000000","URB_INTERRUPT in"
"487","50.975000","1.1.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"489","51.047008","1.1.1","host","USB","35","0000080000000000","URB_INTERRUPT in"
"491","51.151020","1.1.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"493","51.511053","1.1.1","host","USB","35","0000110000000000","URB_INTERRUPT in"
"495","51.599063","1.1.1","host","USB","35","0000110c00000000","URB_INTERRUPT in"
"497","51.671065","1.1.1","host","USB","35","0000110c16000000","URB_INTERRUPT in"
"499","51.679065","1.1.1","host","USB","35","00000c1600000000","URB_INTERRUPT in"
"501","51.695071","1.1.1","host","USB","35","0000160000000000","URB_INTERRUPT in"
"503","51.751077","1.1.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"505","52.207122","1.1.1","host","USB","35","00002a0000000000","URB_INTERRUPT in"
"507","52.271127","1.1.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"509","52.351133","1.1.1","host","USB","35","00002a0000000000","URB_INTERRUPT in"
"511","52.415144","1.1.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"513","52.487158","1.1.1","host","USB","35","00002a0000000000","URB_INTERRUPT in"
"515","52.551157","1.1.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"517","52.631166","1.1.1","host","USB","35","00002a0000000000","URB_INTERRUPT in"
"519","52.695169","1.1.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"521","52.887192","1.1.1","host","USB","35","0200000000000000","URB_INTERRUPT in"
"523","52.999201","1.1.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"525","53.127215","1.1.1","host","USB","35","00002a0000000000","URB_INTERRUPT in"
"527","53.191220","1.1.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"529","53.255227","1.1.1","host","USB","35","0200000000000000","URB_INTERRUPT in"
"531","53.335243","1.1.1","host","USB","35","0200070000000000","URB_INTERRUPT in"
"533","53.399242","1.1.1","host","USB","35","0000070000000000","URB_INTERRUPT in"
"535","53.415251","1.1.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"537","53.527256","1.1.1","host","USB","35","0000120000000000","URB_INTERRUPT in"
"539","53.639268","1.1.1","host","USB","35","0000121100000000","URB_INTERRUPT in"
"541","53.695275","1.1.1","host","USB","35","0000110000000000","URB_INTERRUPT in"
"543","53.727275","1.1.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"545","53.751277","1.1.1","host","USB","35","0000170000000000","URB_INTERRUPT in"
"547","53.823298","1.1.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"549","53.943306","1.1.1","host","USB","35","0000160000000000","URB_INTERRUPT in"
"551","54.047329","1.1.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"553","54.103332","1.1.1","host","USB","35","0200000000000000","URB_INTERRUPT in"
"555","54.239339","1.1.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"557","54.415366","1.1.1","host","USB","35","00002a0000000000","URB_INTERRUPT in"
"559","54.479373","1.1.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"561","54.527370","1.1.1","host","USB","35","00002a0000000000","URB_INTERRUPT in"
"563","54.591376","1.1.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"565","54.727388","1.1.1","host","USB","35","0000160000000000","URB_INTERRUPT in"
"567","54.791403","1.1.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"569","55.071423","1.1.1","host","USB","35","00002a0000000000","URB_INTERRUPT in"
"571","55.135435","1.1.1","host","USB","35","00002a0a00000000","URB_INTERRUPT in"
"573","55.143429","1.1.1","host","USB","35","00000a0000000000","URB_INTERRUPT in"
"575","55.183432","1.1.1","host","USB","35","00000a1600000000","URB_INTERRUPT in"
"577","55.199443","1.1.1","host","USB","35","0000160000000000","URB_INTERRUPT in"
"579","55.255439","1.1.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"581","55.335449","1.1.1","host","USB","35","0200000000000000","URB_INTERRUPT in"
"583","55.391458","1.1.1","host","USB","35","0200380000000000","URB_INTERRUPT in"
"585","55.503466","1.1.1","host","USB","35","0200000000000000","URB_INTERRUPT in"
"587","55.639491","1.1.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"589","55.775495","1.1.1","host","USB","35","00002a0000000000","URB_INTERRUPT in"
"591","55.855504","1.1.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"593","55.935512","1.1.1","host","USB","35","00002a0000000000","URB_INTERRUPT in"
"595","56.007528","1.1.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"597","56.079543","1.1.1","host","USB","35","00002a0000000000","URB_INTERRUPT in"
"599","56.143549","1.1.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"601","56.231553","1.1.1","host","USB","35","00002a0000000000","URB_INTERRUPT in"
"603","56.287558","1.1.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"605","56.375567","1.1.1","host","USB","35","00002a0000000000","URB_INTERRUPT in"
"607","56.447582","1.1.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"609","56.551586","1.1.1","host","USB","35","00002a0000000000","URB_INTERRUPT in"
"611","56.607589","1.1.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"613","56.863626","1.1.1","host","USB","35","0200000000000000","URB_INTERRUPT in"
"615","56.935619","1.1.1","host","USB","35","0200070000000000","URB_INTERRUPT in"
"617","57.015636","1.1.1","host","USB","35","0000070000000000","URB_INTERRUPT in"
"619","57.031640","1.1.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"621","57.087638","1.1.1","host","USB","35","00000c0000000000","URB_INTERRUPT in"
"623","57.159651","1.1.1","host","USB","35","00000c0600000000","URB_INTERRUPT in"
"625","57.167649","1.1.1","host","USB","35","0000060000000000","URB_INTERRUPT in"
"627","57.263660","1.1.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"629","57.279668","1.1.1","host","USB","35","00000e0000000000","URB_INTERRUPT in"
"631","57.359681","1.1.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"633","57.431671","1.1.1","host","USB","35","0000160000000000","URB_INTERRUPT in"
"635","57.487684","1.1.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"637","57.599695","1.1.1","host","USB","35","0200000000000000","URB_INTERRUPT in"
"639","57.727717","1.1.1","host","USB","35","0200380000000000","URB_INTERRUPT in"
"641","57.807721","1.1.1","host","USB","35","0200000000000000","URB_INTERRUPT in"
"643","57.991738","1.1.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"645","58.135753","1.1.1","host","USB","35","00002a0000000000","URB_INTERRUPT in"
"647","58.207754","1.1.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"649","58.279760","1.1.1","host","USB","35","00002a0000000000","URB_INTERRUPT in"
"651","58.359772","1.1.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"653","58.423779","1.1.1","host","USB","35","00002a0000000000","URB_INTERRUPT in"
"655","58.495784","1.1.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"657","58.575794","1.1.1","host","USB","35","00002a0000000000","URB_INTERRUPT in"
"659","58.631800","1.1.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"661","58.727808","1.1.1","host","USB","35","00002a0000000000","URB_INTERRUPT in"
"663","58.775816","1.1.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"665","58.863823","1.1.1","host","USB","35","00002a0000000000","URB_INTERRUPT in"
"667","58.903829","1.1.1","host","USB","35","02002a0000000000","URB_INTERRUPT in"
"669","58.919829","1.1.1","host","USB","35","0200000000000000","URB_INTERRUPT in"
"671","59.063845","1.1.1","host","USB","35","0200130000000000","URB_INTERRUPT in"
"673","59.119858","1.1.1","host","USB","35","0000130000000000","URB_INTERRUPT in"
"675","59.127852","1.1.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"677","59.215868","1.1.1","host","USB","35","0000080000000000","URB_INTERRUPT in"
"679","59.287880","1.1.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
